"tick","ValueDelivered","NPV","AgentsResourceUtilization_cov","AgentsResourceUtilization_mean"
1.0,0.0,0.0,3.0,0.11111111111111109
2.0,0.0,0.0,3.0,0.11111111111111109
3.0,0.0,0.0,3.0,0.11111111111111109
4.0,0.0,0.0,3.0,0.11111111111111109
5.0,0.0,0.0,3.0,0.11111111111111109
6.0,0.0,0.0,3.0,0.11111111111111109
7.0,0.0,0.0,3.0,0.11111111111111109
8.0,0.0,0.0,3.0,0.11111111111111109
9.0,0.0,0.0,3.0,0.11111111111111109
10.0,0.0,0.0,3.0,0.027777777777777773
11.0,0.0,0.0,1.1858541225631425,0.1111111111111111
12.0,0.0,0.0,1.1858541225631425,0.1111111111111111
13.0,0.0,0.0,1.1858541225631425,0.1111111111111111
14.0,0.0,0.0,1.1858541225631425,0.1111111111111111
